"memory[1]","memory[2]","test[1,1]","test[1,2]","test[1,3]","test[1,4]","test[1,5]","test[1,6]","test[1,7]","test[1,8]","test[2,1]","test[2,2]","test[2,3]","test[2,4]","test[2,5]","test[2,6]","test[2,7]","test[2,8]"
0.,1.375233125334058,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
0.,0.5884553688826927,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.,0.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.,0.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.,0.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.2747742481904445,0.,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0.9599700579079998,0.,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
0.,1.1775423796273259,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
0.,0.,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0.9364776200384672,0.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0.,0.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.,0.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.,0.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.7788592147644792,0.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.,0.,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
0.,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.,1.3551840534349735,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0.8394370567783505,0.,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.8653815666130285,0.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
