Time,E1,E2,E3,E4
3:19:00,34,807,1587,2358
3:20:00,37,794,1599,2348
3:21:00,34,811,1641,2393
3:22:00,37,799,1551,2376
3:23:00,33,791,1539,2425
3:24:00,34,818,1590,2324
3:25:00,31,799,1577,2351
3:26:00,40,775,1573,2341
3:27:00,38,807,1593,2407
3:28:00,38,824,1578,2348
3:29:00,29,810,1615,2365
3:30:00,34,808,1580,2345
3:31:00,38,818,1599,2358
3:32:00,36,788,1637,2371
3:33:00,33,795,1590,2334
3:34:00,33,836,1576,2396
3:35:00,33,796,1606,2389
3:36:00,38,814,1562,2348
3:37:00,33,831,1591,2360
3:38:00,34,800,1584,2387
3:39:00,36,763,1559,2370
3:40:00,36,828,1593,2374
3:41:00,33,796,1548,2431
3:42:00,42,813,1565,2425
3:43:00,33,773,1605,2383
3:44:00,29,804,1581,2339
3:45:00,32,824,1604,2386
3:46:00,33,796,1567,2399
3:47:00,37,834,1563,2377
3:48:00,33,799,1591,2386
3:49:00,29,811,1571,2378
3:50:00,33,800,1601,2409
3:51:00,36,816,1619,2373
3:52:00,41,796,1611,2399
3:53:00,33,819,1611,2380
3:54:00,30,802,1563,2370
3:55:00,39,786,1600,2430
3:56:00,36,791,1620,2379
3:57:00,31,794,1606,2385
3:58:00,34,795,1596,2374
3:59:00,33,801,1596,2435
4:00:00,36,808,1580,2367
4:01:00,38,805,1581,2434
4:02:00,37,808,1579,2419
4:03:00,36,834,1592,2363
4:04:00,37,816,1595,2394
4:05:00,41,802,1616,2446
4:06:00,37,811,1586,2406
4:07:00,37,820,1607,2370
4:08:00,37,840,1574,2396
4:09:00,41,821,1572,2412
4:10:00,45,807,1597,2346
4:11:00,35,831,1613,2408
4:12:00,31,806,1582,2412
4:13:00,37,788,1613,2381
4:14:00,34,815,1558,2407
4:15:00,36,831,1599,2338
4:16:00,40,801,1591,2383
4:17:00,34,805,1612,2354
4:18:00,36,827,1608,2377
4:19:00,40,806,1575,2427
4:20:00,31,816,1609,2345
4:21:00,41,800,1581,2401
4:22:00,33,818,1572,2414
4:23:00,32,823,1602,2364
4:24:00,44,822,1576,2367
4:25:00,34,804,1638,2401
4:26:00,32,820,1563,2369
4:27:00,34,780,1605,2410
4:28:00,37,795,1599,2410
4:29:00,39,803,1617,2353
4:30:00,40,799,1559,2411
4:31:00,36,800,1550,2401
4:32:00,38,782,1599,2384
4:33:00,31,806,1575,2389
4:34:00,34,820,1608,2368
4:35:00,35,821,1562,2352
4:36:00,35,803,1592,2397
4:37:00,29,831,1585,2388
4:38:00,35,828,1573,2397
4:39:00,30,786,1588,2350
4:40:00,37,803,1591,2373
4:41:00,32,788,1594,2411
4:42:00,33,839,1621,2353
4:43:00,34,788,1620,2345
4:44:00,31,793,1577,2399
4:45:00,34,813,1566,2422
4:46:00,38,798,1613,2354
4:47:00,36,795,1653,2377
